Sample,exp_start,exp_start_value,exp_end_1,exp_end_value_1,exp_end_2,exp_end_value_2,exp_end_3,exp_end_value_3,exponential_coef_simple,exponential_Y0,exponential_r,log_start_position,log_end_position,log_theoretical_K,log_b,log_theoretical_r,mean_4points_afterK,mean_9points_afterK,position_K,K,mean_window_K,decrease_start,decrease_end,decrease_rate,steady_start,steady_end,steady_rate,mean_steady,mean_steady_sd,rise_start,rise_end,rise_rate
0110K2,30.1,0.129166667,270.1,1.007555556,300.1,1.017333333,330.1,1.0205,0.256772359,0.183666625,0.006601885,2,12,1.078591847,2.624940722,-0.017961567,1.014188889,1.02135,81,1.079111111,1.071925926,600.1,1200.1,-0.000119745,2220.1,9750.1,-1.33E-05,1.048138448,0.020803466,0,0,0
0110K2,30.1,0.132166667,270.1,1.004555556,300.1,1.017333333,330.1,1.0215,0.253529592,0.179714812,0.006680131,2,12,1.088450091,2.622331686,-0.017596464,1.013388889,1.01755,118,1.107333333,1.077259259,600.1,1260.1,-6.73E-05,2760.1,9810.1,-1.04E-05,1.056702919,0.017665333,0,0,0
0110K2,30.1,0.133166667,270.1,0.992555556,300.1,1.002333333,330.1,1.0115,0.251085188,0.185412282,0.006522598,2,13,1.047064778,2.633413906,-0.018496156,1.001788889,1.01025,19,1.053111111,1.035203704,600.1,1380.1,-0.00016185,2760.1,9750.1,-6.23E-06,1.017836895,0.015151717,0,0,0
0110K2,30.1,0.144166667,270.1,1.051555556,300.1,1.052333333,330.1,1.0685,0.248381974,0.181324148,0.006852588,2,19,1.121411167,2.713104687,-0.01827224,1.064388889,1.09345,18,1.137222222,1.121296296,540.1,1290.1,-0.000119558,2190.1,8340.1,-1.29E-05,1.109580636,0.015476793,0,0,0
0111L1,90.1,0.057333333,210.1,0.328833333,240.1,0.395944444,270.1,0.427222222,0.436667213,0.021955803,0.013013964,2,15,0.505665957,3.892372376,-0.021106685,0.413077777,0.459327778,14,0.517472222,0.507490741,510.1,4170.1,-6.86E-05,4200.1,9930.1,-1.93E-05,0.306907407,0.016815691,0,0,0
0111L1,90.1,0.054333333,210.1,0.315833333,240.1,0.364944444,270.1,0.421222222,0.440019185,0.023119293,0.012610006,3,16,0.494657786,3.722181713,-0.020028444,0.397277777,0.445027778,15,0.505111111,0.499685185,540.1,5670.1,-4.92E-05,5700.1,9930.1,-2.07E-05,0.295647887,0.013969034,0,0,0
0111L1,90.1,0.045333333,210.1,0.318833333,240.1,0.368944444,270.1,0.414222222,0.487656477,0.017130197,0.014071375,3,16,0.483596371,4.091185083,-0.022018224,0.395277777,0.440527778,15,0.498111111,0.492351852,510.1,5670.1,-5.09E-05,5700.1,9930.1,-2.09E-05,0.286929577,0.013973352,0,0,0
0111L1,90.1,0.051333333,210.1,0.334833333,240.1,0.394944444,270.1,0.438222222,0.468823147,0.019768858,0.013605349,3,16,0.525920939,3.934270793,-0.020851457,0.422077777,0.473727778,15,0.537111111,0.532685185,510.1,5670.1,-5.36E-05,5700.1,9930.1,-2.21E-05,0.313084507,0.014519077,0,0,0
0112L1,90.1,0.069333333,240.1,0.510944444,270.1,0.533222222,300.1,0.538444444,0.399467016,0.046141545,0.010308539,3,19,0.595802348,4.025268026,-0.023597162,0.541288889,0.573494444,18,0.6095,0.606166667,600.1,5700.1,-3.19E-05,5730.1,9930.1,-3.75E-05,0.477163515,0.02350037,0,0,0
0112L1,90.1,0.076333333,240.1,0.541944444,270.1,0.557222222,300.1,0.563444444,0.392010757,0.053040857,0.010076723,3,15,0.601407469,4.453694195,-0.02762844,0.566888889,0.594294444,15,0.623111111,0.622685185,540.1,5700.1,-3.60E-05,5730.1,9930.1,-3.95E-05,0.467092593,0.024703519,0,0,0
0112L1,120.1,0.124055556,240.1,0.524944444,270.1,0.542222222,300.1,0.551444444,0.360640735,0.055203304,0.009679566,3,15,0.588741539,4.723423798,-0.02843319,0.553088889,0.584494444,18,0.6195,0.616166667,570.1,5700.1,-3.76E-05,5730.1,9930.1,-3.93E-05,0.464064224,0.02461806,0,0,0
0112L1,60.1,0.044777778,210.1,0.468833333,240.1,0.525944444,270.1,0.547222222,0.46970707,0.025515198,0.014093125,2,15,0.454082191,0.498136556,-0.011010736,0.534077777,0.575227778,18,0.6245,0.621833333,570.1,3150.1,-4.93E-05,3480.1,9930.1,-3.78E-05,0.505813272,0.036069157,0,0,0
0113L1,360.1,0.179888889,450.1,0.480472222,480.1,0.520944444,510.1,0.5335,0.32747668,0.007159394,0.009480624,2,24,0.423127123,0.252436255,-0.004078971,0.528772222,0.565738889,23,0.617694444,0.608787037,810.1,5670.1,-3.23E-05,5700.1,9930.1,-3.74E-05,0.474387324,0.023721769,0,0,0
0113L1,300.1,0.119444444,450.1,0.513472222,480.1,0.547944444,510.1,0.5615,0.291668915,0.006122001,0.009982635,2,24,0.643821312,6.027340436,-0.015649502,0.557572222,0.593438889,23,0.644694444,0.63512037,780.1,5670.1,-5.54E-05,0,0,0,0,0,0,0,0
0113L1,300.1,0.136444444,450.1,0.517472222,480.1,0.541944444,510.1,0.5555,0.266607664,0.010198026,0.008865328,2,23,0.644969287,5.221252624,-0.013863521,0.554972222,0.586138889,23,0.627694444,0.62212037,780.1,5700.1,-5.29E-05,5730.1,9930.1,-4.49E-05,0.419362096,0.028100972,0,0,0
0113L1,360.1,0.206888889,450.1,0.515472222,480.1,0.555944444,510.1,0.5685,0.304300512,0.007799043,0.009400234,2,24,0.46824489,0.270799196,-0.003973065,0.564172222,0.600838889,23,0.652694444,0.644453703,780.1,5730.1,-4.09E-05,0,0,0,0,0,0,0,0
0114L1,60.1,0.089777778,210.1,0.555833333,240.1,0.568944444,270.1,0.607222222,0.364626201,0.041988576,0.012553409,3,11,0.614400229,4.425439876,-0.029699707,0.572277777,0.544027778,10,0.607222222,0.585537037,390.1,2430.1,-0.000202652,2790.1,9930.1,-2.42E-05,0.296355339,0.025796795,0,0,0
0114L1,60.1,0.103777778,240.1,0.631944444,270.1,0.628222222,300.1,0.605444444,0.301091604,0.073414978,0.009392058,2,10,0.720005354,3.535964159,-0.022499266,0.605088889,0.582694444,9,0.631944444,0.625666666,420.1,2430.1,-0.00023317,2610.1,9930.1,-2.35E-05,0.299795181,0.025777194,0,0,0
0114L1,120.1,0.158055556,240.1,0.510944444,270.1,0.496222222,300.1,0.565444444,0.293328568,0.095716631,0.007583431,2,12,0.556388036,4.214174166,-0.029798935,0.529288889,0.519194444,8,0.565833333,0.514037037,420.1,2460.1,-0.000199178,2790.1,9930.1,-2.34E-05,0.303924861,0.025165405,0,0,0
0114L1,90.1,0.125333333,240.1,0.573944444,270.1,0.600222222,300.1,0.575444444,0.30431115,0.0718003,0.009116969,2,11,0.628029592,3.794362181,-0.025173733,0.562688889,0.538094444,10,0.600222222,0.583203703,420.1,2490.1,-0.0001841,2520.1,6510.1,-1.14E-05,0.324541667,0.010876032,0,0,0
0115L1,60.1,0.085777778,210.1,0.337833333,240.1,0.347944444,270.1,0.359222222,0.27415854,0.08694121,0.006839207,2,33,0.738420009,1.238449344,-0.003252119,0.356677777,0.377827778,34,0.652472222,0.650092592,1080.1,8760.1,-4.14E-05,8790.1,9870.1,-2.27E-05,0.478811562,0.006352294,0,0,0
0115L1,90.1,0.071333333,240.1,0.349944444,270.1,0.362222222,300.1,0.373444444,0.318082138,0.066977289,0.007242287,2,32,0.685003596,1.458756026,-0.004197416,0.369088889,0.391094444,34,0.669472222,0.667425926,1080.1,6840.1,-4.74E-05,6870.1,9900.1,-2.34E-05,0.500970588,0.011692434,0,0,0
0115L1,60.1,0.070777778,240.1,0.337944444,270.1,0.349222222,300.1,0.357444444,0.260556072,0.074711316,0.006635441,2,32,0.713915025,1.386747919,-0.003582692,0.354088889,0.374994444,32,0.646055556,0.644148148,1050.1,6870.1,-4.72E-05,6900.1,9900.1,-2.44E-05,0.472801705,0.011773472,0,0,0
0115L1,60.1,0.092777778,210.1,0.337833333,240.1,0.354944444,270.1,0.368222222,0.258469105,0.083360665,0.006973781,3,31,0.8058791,1.214150903,-0.002891162,0.363877777,0.388327778,33,0.665361111,0.663962963,1050.1,6870.1,-4.98E-05,6900.1,9900.1,-2.39E-05,0.481425468,0.011519952,0,0,0
0116L1,90.1,0.116333333,240.1,0.479944444,270.1,0.523222222,300.1,0.556444444,0.283442145,0.067878146,0.008382638,3,16,0.642833843,2.92703725,-0.016477339,0.547288889,0.593794444,16,0.645472222,0.643175926,570.1,5700.1,-4.50E-05,5730.1,9900.1,-3.00E-05,0.471152381,0.019025045,0,0,0
0116L1,60.1,0.081777778,240.1,0.470944444,270.1,0.522222222,300.1,0.557444444,0.291789098,0.059340071,0.008884244,2,15,0.663329925,2.947864028,-0.01584968,0.551488889,0.602394444,16,0.657472222,0.655509259,570.1,5700.1,-4.47E-05,5730.1,9870.1,-3.16E-05,0.481092126,0.019777334,0,0,0
0116L1,60.1,0.080777778,240.1,0.492944444,270.1,0.515222222,300.1,0.540444444,0.301449096,0.058770218,0.009141197,2,16,0.473517844,0.447416473,-0.010323929,0.543288889,0.592794444,16,0.646472222,0.644509259,570.1,5700.1,-4.30E-05,5730.1,9900.1,-3.18E-05,0.478502381,0.020027312,0,0,0
0116L1,90.1,0.110333333,240.1,0.478944444,270.1,0.517222222,300.1,0.548444444,0.293615705,0.054678794,0.00927718,3,17,0.637290595,3.129183693,-0.017137906,0.542288889,0.588794444,17,0.642944444,0.641305555,600.1,5730.1,-4.03E-05,5760.1,9900.1,-3.22E-05,0.489009792,0.020222913,0,0,0
0201G2,150.1,0.107416667,240.1,0.362472222,270.1,0.456222222,300.1,0.490777778,0.405410829,0.017478898,0.012714952,2,18,0.55745197,4.464216609,-0.021059239,0.465166667,0.509441667,22,0.582166667,0.581305556,690.1,4350.1,-7.85E-05,4380.1,8430.1,-1.83E-05,0.409289624,0.011996026,0,0,0
0201G2,120.1,0.061,240.1,0.346472222,270.1,0.424222222,300.1,0.468777778,0.434232196,0.016621693,0.01281371,2,19,0.557379689,4.277956054,-0.019655634,0.444966667,0.497641667,22,0.579166667,0.577972222,690.1,4320.1,-7.65E-05,4350.1,8430.1,-1.72E-05,0.409791768,0.011224787,0,0,0
0201G2,150.1,0.083416667,240.1,0.347472222,270.1,0.425222222,300.1,0.465777778,0.475612197,0.014030879,0.013537706,3,19,0.549846563,4.717279538,-0.021610659,0.443166667,0.495241667,22,0.576166667,0.574638889,660.1,4320.1,-7.59E-05,4350.1,8430.1,-1.74E-05,0.407105637,0.01141243,0,0,0
