Sample,exp_start,exp_start_value,exp_end_1,exp_end_value_1,exp_end_2,exp_end_value_2,exp_end_3,exp_end_value_3,exponential_coef_simple,exponential_Y0,exponential_r,log_start_position,log_end_position,log_theoretical_K,log_b,log_theoretical_r,mean_4points_afterK,mean_9points_afterK,position_K,K,mean_window_K,decrease_start,decrease_end,decrease_rate,steady_start,steady_end,steady_rate,mean_steady,mean_steady_sd,rise_start,rise_end,rise_rate
0110C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0020625,0.0020625,30.1,5970.1,-3.69E-09,0,0,0,0,0,0,0,0
0110C1,3270.1,0.178515459,3450.1,0.339931197,3480.1,0.368750738,3510.1,0.396504654,0.107344672,1.53E-05,0.002889185,103,134,0.648784324,21.33163113,-0.006209325,0.395423052,0.456807079,148,0.646875,0.6418125,4350.1,7440.1,-0.000132392,7470.1,14970.1,-1.51E-05,0.428536355,0.017044814,0,0,0
0110C1,2700.1,0.234990211,2820.1,0.323094268,2850.1,0.346660043,2880.1,0.369132256,0.079600069,0.000262922,0.0025203,71,118,0.675317604,11.80601083,-0.004153069,0.367428652,0.416956652,124,0.64053125,0.638270833,4050.1,5550.1,-0.000128666,12510.1,14970.1,-1.19E-05,0.404346762,0.005296943,0,0,0
0111C1,1470.1,0.138421875,1770.1,0.476133503,1800.1,0.523971588,1830.1,0.571293572,0.12353922,0.000364979,0.004061207,47,77,0.957267542,11.78632244,-0.006658183,0.569576644,0.669405756,77,0.907875,0.903583333,2790.1,4170.1,-9.64E-05,7380.1,14970.1,-1.16E-05,0.690828863,0.014279467,0,0,0
0111C1,1470.1,0.148421875,1740.1,0.445430023,1770.1,0.490423829,1800.1,0.54041308,0.122109048,0.000382436,0.004066819,3,76,0.976282264,9.929475851,-0.005613373,0.537881247,0.631561757,79,0.889375,0.882958333,2430.1,3930.1,-0.000107379,7320.1,14970.1,-9.02E-06,0.682807251,0.011354391,0,0,0
0111C1,1470.1,0.145421875,1740.1,0.444319777,1770.1,0.486352414,1800.1,0.528656534,0.124100613,0.000434581,0.003995127,3,76,0.918452022,9.936632386,-0.005674492,0.527290633,0.613839772,178,0.84921875,0.844927083,2370.1,4080.1,-6.18E-05,7440.1,14970.1,-1.12E-05,0.683458953,0.013372272,0,0,0
0111C1,1770.1,0.126357543,2040.1,0.524346235,2070.1,0.586175918,2100.1,0.648690052,0.158115188,2.21E-05,0.004944393,54,88,1.037871978,17.47416354,-0.008581702,0.647325045,0.774450751,87,1.01796875,1.01125,2640.1,4020.1,-0.000192787,7320.1,14970.1,-8.08E-06,0.828748494,0.011106971,0,0,0
0112C1,480.1,0.0949375,810.1,0.9069375,840.1,0.96703125,870.1,1.0361875,0.205168614,0.006558521,0.006158893,3,36,1.224091728,7.940954975,-0.011001596,1.020275,1.092259375,35,1.17271875,1.16809375,1140.1,2100.1,-0.000274309,12090.1,14970.1,-3.14E-06,0.851431057,0.006590718,0,0,0
0112C1,480.1,0.1069375,810.1,0.9309375,840.1,0.99103125,870.1,1.0451875,0.196722508,0.008551893,0.005871878,11,35,1.225477664,7.702037654,-0.01083021,1.035275,1.096459375,34,1.16365625,1.159520833,1140.1,3600.1,-0.000235509,5640.1,11220.1,-2.91E-05,0.881634665,0.024541202,0,0,0
0112C1,510.1,0.1289375,810.1,0.9089375,840.1,0.97003125,870.1,1.0291875,0.195294854,0.007836526,0.005932227,11,38,1.205661631,7.862920088,-0.010976588,1.019075,1.089259375,37,1.16575,1.161510417,1140.1,3600.1,-0.000253382,5070.1,8790.1,-5.81E-06,0.9045245,0.008250527,0,0,0
0112C1,510.1,0.1309375,810.1,0.9039375,840.1,0.95903125,870.1,1.0341875,0.193204011,0.007749492,0.005933318,13,38,1.208430156,7.836649647,-0.010902729,1.017875,1.088059375,35,1.16871875,1.161760417,1140.1,3660.1,-0.0002233,5610.1,14970.1,-2.57E-05,0.893335363,0.035923458,0,0,0
0113C1,0,0,0,0,0,0,0,0,0,0,0,13,45,0.281354546,3.648214323,-0.005061454,0,0,58,0.2975625,0.2936875,1740.1,2400.1,-0.000116833,2430.1,10440.1,-7.84E-06,0.260695546,0.010951381,780.1,1740.1,0.000263467
0113C1,600.1,0.1425,2010.1,0.37453125,2040.1,0.38009375,2070.1,0.394322917,0.020560282,0.152599455,0.000438756,13,93,202.8104564,7.641706848,-0.000731937,0.394740972,0.433642998,97,0.736875,0.73475,2940.1,5340.1,-0.000248877,5670.1,7080.1,1.45E-05,0.470122396,0.00817071,2040.1,2940.1,0.000872491
0113C1,12960.1,0.18940625,600.1,0.1485,630.1,0.1545,660.1,0.1670625,0.000590556,0,0,10,32,0.254329036,3.480288811,-0.006257312,0.16636875,0.187603125,177,0.29628125,0.292333333,3660.1,4140.1,-2.17E-05,4170.1,9000.1,-1.05E-05,0.279684606,0.008707324,630.1,3150.1,5.83E-05
0113C1,8130.1,0.32121875,720.1,0.16496875,750.1,0.17684375,780.1,0.1901875,0.002697839,0,0,12,37,0.2647538,3.423235446,-0.005500472,0.18399375,0.202621875,273,0.32721875,0.32509375,3690.1,4200.1,-2.53E-05,4230.1,7920.1,-1.22E-05,0.280147681,0.007847712,750.1,2430.1,8.57E-05
0114C1,0,0,0,0,0,0,0,0,0,0,0,0,412,0.06372675,0.292721704,2.15E-05,0,0,451,0.10853125,0.10459375,13440.1,14790.1,-4.61E-05,14820.1,14970.1,3.77E-06,0.079021123,0.001024738,0,0,0
0114C1,3750.1,0.142211504,3990.1,0.628224398,4020.1,0.70915459,4050.1,0.785040188,0.185697751,5.13E-08,0.004054135,3,147,0.102638933,0.018688515,-0.000876531,0.777351594,0.915232113,147,1.12871875,1.126125,4470.1,6630.1,-0.000300387,12120.1,14970.1,5.43E-06,0.834883355,0.00689818,0,0,0
0114C1,0,0,0,0,0,0,0,0,0,0,0,3,5,0.064529433,-0.233611119,-0.00536782,0,0,6,0.0495,0.046375,630.1,1560.1,-4.63E-05,1590.1,13440.1,-3.40E-06,0.019860544,0.00688531,0,0,0
0114C1,1770.1,0.124238347,2040.1,0.671664205,2070.1,0.756352391,2100.1,0.838447366,0.187506294,4.29E-06,0.005868209,3,80,0.223115196,0.04769503,-0.001409779,0.830899647,0.978026601,80,1.17565625,1.171416667,2430.1,3450.1,-0.000211912,5370.1,14970.1,-1.35E-05,1.003580802,0.023458217,0,0,0
0115C1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05E-05,0,0,0,0,1,0.0310625,0.0310625,0,0,0,120.1,5970.1,2.96E-08,1.65E-05,8.88E-05,0,5640.1,-3.95E-07
0115C1,0,0,0,0,0,0,0,0,0,0,0,0,123,0.008027916,0.003701771,-0.000703178,0,0,1,0.0340625,0.0340625,3510.1,3870.1,-4.20E-05,3900.1,12990.1,-1.22E-06,0.016268598,0.004686095,0,0,0
0115C1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,34,0.04865625,0.043520833,900.1,1860.1,-4.67E-05,1890.1,9810.1,-5.53E-06,0.012342038,0.006921863,0,0,0
0115C1,0,0,0,0,0,0,0,0,0,0,0,29,5,0,0,0,0,0,15,0.06096875,0.05359375,570.1,1290.1,-3.24E-05,1320.1,10350.1,-6.62E-06,0.011927942,0.011116878,0,0,0
0115D1,0,0,0,0,0,0,0,0,0,0,0,65,75,0.254937591,-0.038220442,-5.21E-05,0,0,188,0.267482759,0.263655173,6240.1,10890.1,-5.62E-05,10920.1,14970.1,-5.36E-06,0.142900609,0.003714623,0,0,0
0115D1,990.1,0.101034483,1320.1,0.119,1350.1,0.116206897,1380.1,0.095413793,0.014878329,0.040655549,0.000657194,12,46,7.061337429,5.33719134,-0.000832878,0.105262069,0.107133334,204,0.218413793,0.21491954,6630.1,8040.1,-5.67E-05,8070.1,12120.1,-1.14E-05,0.164345842,0.007066573,0,0,0
0115D1,1320.1,0.134,1320.1,0.134,1350.1,0.148206897,1380.1,0.110413793,NaN,0.13267331,7.54E-06,39,68,2.062228995,2.980490525,-9.54E-05,0.122462069,0.114436494,234,0.252448276,0.249793103,2040.1,2580.1,-0.000103174,12540.1,14970.1,-5.76E-06,0.126051584,0.002654208,0,0,0
0115D2,120.1,0.089451613,540.1,0.160419355,570.1,0.142967742,600.1,0.158451613,0.041720965,0.077707906,0.001020855,2,28,0.17002004,0.523689944,-0.003568712,0.151619355,0.151090323,60,0.272645161,0.27044086,2640.1,5010.1,-6.96E-05,8040.1,14970.1,2.76E-06,0.168936573,0.00425327,570.1,2100.1,0.000201166
0115D2,1920.1,0.377806452,1230.1,0.226774194,1260.1,0.233096774,1290.1,0.239967742,0.022192489,0,0,32,49,50.59912547,6.048043827,-0.000524234,0.240180645,0.254303226,76,0.444387097,0.442344086,2250.1,4230.1,-0.000165847,8130.1,14970.1,-4.35E-07,0.192397521,0.004511397,1260.1,2250.1,0.000421339
0115D2,810.1,0.153258065,1140.1,0.239903226,1170.1,0.247387097,1200.1,0.259935484,0.040737492,0.055748981,0.001298306,28,77,0.52826062,2.481314713,-0.002018194,0.256419355,0.277045161,74,0.476064516,0.455946236,2130.1,8010.1,-6.90E-05,8040.1,14970.1,-1.08E-06,0.199217858,0.002674848,1170.1,2130.1,0.00047273
0113K1,570.1,0.0795,1410.1,0.326333333,1440.1,0.33275,1470.1,0.355277778,0.050434369,0.04946078,0.001355808,19,67,0.890875094,3.256931817,-0.001970783,0.354869136,0.395676218,89,0.618833333,0.611388889,2640.1,4770.1,-8.33E-05,10050.1,13260.1,-3.02E-05,0.31062963,0.015231999,1440.1,2640.1,0.000413838
0113K1,780.1,0.1695,1350.1,0.3105,1380.1,0.3195,1410.1,0.335333333,0.031859525,0.085406907,0.000960332,11,67,0.707873501,3.168938785,-0.002267187,0.335272222,0.376632922,89,0.604833333,0.598388889,2640.1,4740.1,-8.32E-05,9990.1,13260.1,-2.17E-05,0.314546212,0.011388798,1380.1,2640.1,0.000406759
0113K1,630.1,0.10575,1350.1,0.3355,1380.1,0.3475,1410.1,0.373333333,0.048106006,0.055196779,0.001350535,13,71,0.753041018,3.509323315,-0.002553285,0.373238889,0.423385622,91,0.668666667,0.6655,2670.1,4110.1,-0.000108277,6930.1,13260.1,-2.62E-05,0.434685928,0.025211274,1380.1,2670.1,0.000410502
0113K1,630.1,0.10875,1350.1,0.3295,1380.1,0.3385,1410.1,0.360333333,0.046188528,0.060453365,0.001275811,21,67,0.824099978,3.111690778,-0.002091506,0.362505555,0.409794573,84,0.638583333,0.632861111,2670.1,4200.1,-9.79E-05,7050.1,13260.1,-2.77E-05,0.402275975,0.026060741,1380.1,2670.1,0.00038976
0114K1,30.1,0.04075,2220.1,0.691610056,2250.1,0.763077278,2280.1,0.831087944,0.038788582,0.000276094,0.003484968,7,94,1.232920844,16.4253383,-0.007504363,0.824505065,0.947070911,131,1.2555,1.250583333,3990.1,5160.1,-0.000545341,6030.1,9090.1,-4.62E-05,0.95814644,0.022643892,0,0,0
0114K1,30.1,0.04475,2250.1,0.596745729,2280.1,0.671435005,2310.1,0.744732845,0.035005401,0.00069486,0.002915235,2,91,0.35820106,0.327959465,-0.001057132,0.739728468,0.881610356,131,1.1745,1.169583333,2820.1,3390.1,-9.10E-05,8160.1,13230.1,-4.28E-05,0.814316667,0.032264208,0,0,0
0114K1,30.1,0.04775,2130.1,0.652034439,2160.1,0.726880485,2190.1,0.796426519,0.037344547,0.000489862,0.003317869,2,90,0.437696639,0.395433464,-0.001081981,0.789583467,0.918251147,132,1.19975,1.198222222,2730.1,3180.1,-0.000121103,0,0,0,0,0,0,0,0
0114K1,30.1,0.06075,2490.1,0.090583333,2520.1,0.087473058,2550.1,0.095833333,0.00487199,0.078110721,2.13E-05,2,90,0.14867648,-0.075470643,-6.88E-05,0.092427047,0.094577337,137,0.175333333,0.169675926,840.1,1170.1,-3.48E-05,3780.1,9690.1,-2.12E-05,0.141223565,0.01904605,0,0,0
0115K1,570.1,0.1595,840.1,0.776583333,870.1,0.871666667,900.1,0.943916667,0.175873337,0.004122276,0.006275208,2,40,1.261853698,7.063852766,-0.008886442,0.931983333,1.033208333,84,1.244583333,1.234527778,2520.1,4260.1,-0.000295166,0,0,0,0,0,0,0,0
0115K1,30.1,0.08875,810.1,0.813166667,840.1,0.906583333,870.1,0.977666667,0.085196641,0.011209274,0.005265309,15,41,1.224345689,7.573666738,-0.010136412,0.961716667,1.054058333,83,1.2525,1.244166667,1290.1,1620.1,-5.06E-05,10140.1,13260.1,-2.94E-05,0.832185714,0.014890332,0,0,0
0115K1,570.1,0.1985,780.1,0.7475,810.1,0.837166667,840.1,0.924583333,0.189420744,0.004877576,0.006486795,15,39,1.215261205,7.40261199,-0.010058874,0.909566667,1.013458333,84,1.224583333,1.218194444,2400.1,4200.1,-0.0002623,9330.1,13260.1,-2.95E-05,0.840829545,0.018107444,0,0,0
0115K1,570.1,0.2015,780.1,0.6835,810.1,0.763166667,840.1,0.854583333,0.174491039,0.005869609,0.006118863,15,41,1.20897821,6.777360534,-0.008998669,0.839366667,0.957258333,81,1.215833333,1.215111111,2460.1,4170.1,-0.000301601,9960.1,13260.1,-3.21E-05,0.814289039,0.016648148,0,0,0
0116C1,450.1,0.1178125,840.1,0.84503125,870.1,0.9391875,900.1,1.025875,0.151559941,0.011002269,0.00520782,10,37,1.285799241,6.578537326,-0.008566762,0.998525,1.069853125,37,1.15075,1.14584375,1140.1,2580.1,-0.000278638,12060.1,14970.1,-3.24E-06,0.72050287,0.006421135,0,0,0
0116C1,480.1,0.1329375,840.1,0.89003125,870.1,0.9841875,900.1,1.065875,0.158448123,0.01108831,0.005279365,12,38,1.25434388,7.07060616,-0.0094653,1.037725,1.100953125,37,1.17475,1.16884375,1140.1,2790.1,-0.000304546,12270.1,14970.1,9.69E-06,0.718423077,0.006897059,0,0,0
0116C1,480.1,0.1339375,840.1,0.91903125,870.1,1.0041875,900.1,1.079875,0.160495571,0.012089508,0.005217759,12,38,1.249273951,7.097476312,-0.009621285,1.054525,1.110853125,38,1.172875,1.168364583,1110.1,2730.1,-0.000321951,12270.1,14970.1,7.55E-06,0.746521978,0.006375403,0,0,0
