Sample,exp_start,exp_start_value,exp_end_1,exp_end_value_1,exp_end_2,exp_end_value_2,exp_end_3,exp_end_value_3,exponential_coef_simple,exponential_Y0,exponential_r,log_start_position,log_end_position,log_theoretical_K,log_b,log_theoretical_r,mean_4points_afterK,mean_9points_afterK,position_K,K,mean_window_K,decrease_start,decrease_end,decrease_rate,steady_start,steady_end,steady_rate,mean_steady,mean_steady_sd,rise_start,rise_end,rise_rate
0112A1,120.1,0.057166667,300.1,0.938055556,330.1,0.952111111,360.1,0.945277778,0.466306365,0.05958693,0.009528097,4,30,0.985994939,6.062110571,-0.029165643,0.946644445,0.954877778,102,1.210444444,1.207407407,3000.1,3360.1,-0.000200631,6090.1,8010.1,-1.94E-05,1.077700855,0.007955022,330.1,3000.1,0.000197919
0112A1,120.1,0.055166667,300.1,0.945055556,330.1,0.961111111,360.1,0.958277778,0.4734808,0.058721485,0.009614846,3,13,0.986817285,6.288333933,-0.030304373,0.957044445,0.966277778,97,1.162444444,1.152703704,2880.1,3390.1,-0.000162806,6030.1,8010.1,-8.87E-06,0.977338308,0.005362223,330.1,2880.1,0.000155444
0112A1,120.1,0.068166667,300.1,0.996055556,330.1,1.008111111,360.1,1.005277778,0.446974557,0.0689471,0.009278063,3,21,1.026075435,6.352771141,-0.031277195,1.004844445,1.015677778,102,1.193444444,1.188740741,2940.1,3390.1,-0.000189455,6060.1,8010.1,-1.16E-05,1.048516835,0.006284169,330.1,2940.1,0.000131695
0113A1,90.1,0.066666667,510.1,0.850388889,540.1,0.856833333,570.1,0.870277778,0.181856334,0.191930263,0.003267922,2,70,1.197250693,1.382083381,-0.003598849,0.867233333,0.886594444,168,1.677444444,1.664666666,4980.1,6720.1,-6.23E-05,6750.1,8010.1,-1.01E-05,1.613616279,0.007841273,540.1,4740.1,0.000397457
0113A1,90.1,0.068666667,510.1,0.853388889,540.1,0.858833333,570.1,0.868277778,0.179996533,0.193850465,0.003256733,2,79,1.34652512,1.114897236,-0.002253098,0.868033333,0.888494444,156,1.674111111,1.66837037,4650.1,6270.1,-6.31E-05,6300.1,8010.1,4.05E-06,1.619673372,0.007902961,540.1,4650.1,0.00041417
0113A1,90.1,0.065666667,510.1,0.845388889,540.1,0.861833333,570.1,0.868277778,0.182514664,0.195571026,0.003229949,2,45,0.954311949,3.430123646,-0.013618529,0.865433333,0.885694444,155,1.6735,1.669796296,4620.1,6300.1,-7.20E-05,6330.1,8010.1,3.96E-06,1.61625731,0.007823664,540.1,4620.1,0.000419465
0113A1,90.1,0.064666667,1050.1,1.178277778,1080.1,1.221277778,1110.1,1.266944444,0.090705102,0.41378802,0.001014367,2,74,1.962859991,1.729889771,-0.00216718,1.268344444,1.359883333,167,2.279722222,2.250648148,4860.1,6600.1,-9.31E-05,0,0,0,0,0,1080.1,4860.1,0.000400555
0114A1,150.1,0.080888889,360.1,1.379277778,390.1,1.439277778,420.1,1.4825,0.405176974,0.067677499,0.008708031,5,30,1.581833947,6.170267494,-0.023217497,1.475022222,1.530727778,139,2.323888889,2.298148148,4170.1,6450.1,-0.000120797,7320.1,8010.1,2.01E-05,2.099462963,0.01735259,390.1,4170.1,0.000392281
0114A1,150.1,0.102888889,330.1,1.251111111,360.1,1.272277778,390.1,1.284277778,0.416356278,0.057389486,0.009672654,5,28,1.426802968,6.042793205,-0.024426109,1.282366667,1.335094445,56,1.5815,1.568666667,960.1,1350.1,-0.000265551,0,0,0,0,0,0,0,0
0114A1,150.1,0.071888889,360.1,1.259277778,390.1,1.264277778,420.1,1.2665,0.409024561,0.072266505,0.008354004,6,19,1.299941334,8.194001375,-0.033104972,1.273222222,1.301127778,125,1.8765,1.861740741,3720.1,6300.1,-0.000207503,0,0,0,0,0,0,0,0
0114A1,150.1,0.102888889,360.1,1.405277778,390.1,1.466277778,420.1,1.4965,0.37347723,0.09755261,0.007758117,2,32,1.257036435,1.194795891,-0.008739738,1.478622222,1.513827778,106,2.002333333,1.992037037,1710.1,2130.1,-0.00012414,4590.1,6030.1,7.37E-06,1.820513605,0.011328286,390.1,1710.1,0.000475152
0115A1,60.1,0.072,330.1,1.235111111,360.1,1.293277778,390.1,1.347277778,0.315805566,0.202434259,0.005820714,2,26,1.542579806,2.820637943,-0.013251495,1.343566667,1.426294445,25,1.616666667,1.592592593,780.1,2790.1,-0.000182597,4380.1,5610.1,-3.55E-05,1.323042328,0.011899729,0,0,0
0115A1,60.1,0.074,390.1,1.366277778,420.1,1.4125,450.1,1.437666667,0.265070934,0.274680039,0.004400906,2,48,1.409380677,-1.215513633,-0.003356632,1.440044445,1.495561111,66,1.721833333,1.703962963,1890.1,4290.1,-9.81E-05,5760.1,7320.1,-2.12E-05,1.572629979,0.011031843,420.1,1890.1,0.000322411
0115A1,60.1,0.095,330.1,1.241111111,360.1,1.306277778,390.1,1.358277778,0.285542825,0.217648668,0.005594124,2,32,1.550793725,2.692673293,-0.012784166,1.352366667,1.432494445,26,1.620722222,1.604925926,750.1,2400.1,-0.00012638,3960.1,5700.1,-3.06E-05,1.409822034,0.010032486,0,0,0
0115A1,30.1,0.0605,270.1,0.946833333,300.1,1.019055556,330.1,1.122111111,0.343809965,0.148761944,0.00722301,2,28,1.569848594,2.294207549,-0.00967474,1.101311111,1.241033333,57,1.709222222,1.701722222,1830.1,3900.1,-7.76E-05,0,0,0,0,0,300.1,1830.1,0.000566223
0116A1,90.1,0.055666667,330.1,1.170111111,360.1,1.168277778,390.1,1.181277778,0.380684058,0.112314134,0.007556898,2,30,1.229753421,5.428497676,-0.026219429,1.180366667,1.192394445,118,1.431444444,1.415944444,2970.1,3330.1,-0.000157163,3360.1,5730.1,-2.43E-06,1.411853472,0.009356308,360.1,2970.1,0.000172896
0116A1,90.1,0.050666667,300.1,1.023055556,330.1,1.044111111,360.1,1.040277778,0.429325833,0.073191056,0.009152663,2,37,1.099787985,5.260270398,-0.025774288,1.042244445,1.058977778,102,1.265444444,1.260740741,2970.1,3360.1,-0.000205584,3390.1,5760.1,-5.95E-06,1.235211806,0.010534972,330.1,2970.1,0.000145586
